Gender,Age,Hobby,HSC_Gpa,HSC_Group,HSC_Grade_Math,HSC_Grade_Physics,HSC_Grade_Biology,HSC_Grade_Chemistry,HSC_Grade_Accounting,HSC_Grade_Economics,HSC_Grade_BOM,HSC_Grade_FBI,HSC_Grade_Logic,HSC_Grade_History,HSC_Grade_Sociology,HSC_Grade_Geography,HSC_Grade_ICT,Fvrt_Subject,Fvrt_Sub_Grade,Undergraduate_Sub_Wanted,Undergraduate_Sub,Satisfaction,Current_CGPA,Difficulty_Undergraduate,e1,e3,a1,a3,c1,c3,n1,n3,o1,e2,e4,a4,a2,c2,c4,n2,n4,o3,o2,o4,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,OPN,CSN,EXT,ARG,NT,INT
0,22 above,17,7,2,5,5,5,5,0,0,0,0,0,0,0,0,0,21,5,a,a,1,5,1,3,3,4,4,3,2,2,5,2,3,2,2,2,2,2,3,4,2,2,3,5,5,5,4,5,4,5,5,4,4,5,1.0,1,9,9,11,12,14,53
0,22 above,32,7,2,5,5,5,5,0,0,0,0,0,0,0,0,5,24,5,a,a,1,2,1,1,1,5,3,4,5,3,4,4,1,2,4,3,5,5,5,4,4,5,3,3,2,5,3,5,3,5,5,2,5,1,3.0,4,16,19,5,15,16,46
1,20-22,67,7,2,5,5,5,5,0,0,0,0,0,0,0,0,5,25,5,a,a,1,6,0,3,5,5,5,4,5,1,3,3,3,5,1,1,2,2,1,3,2,2,4,4,3,5,5,4,5,4,4,5,1,3,2.0,1,11,13,16,12,8,46
1,20-22,63,7,2,5,5,5,5,0,0,0,0,0,0,0,0,5,3,5,i,a,1,5,0,2,2,5,4,3,5,4,4,5,1,1,2,4,3,4,1,4,3,3,5,4,5,4,3,2,4,3,4,4,4,2,4.0,1,16,15,6,15,13,44
1,18-20,56,6,2,5,4,4,3,0,0,0,0,0,0,0,0,5,17,5,a,a,1,4,1,1,2,4,3,4,4,3,4,4,3,3,2,3,3,3,2,2,3,4,4,4,3,4,3,3,4,3,4,4,4,2,4.0,3,15,14,9,12,11,45
1,18-20,55,7,2,5,5,5,5,0,0,0,0,0,0,0,0,5,26,5,a,a,1,3,1,3,2,5,5,2,4,1,2,1,2,2,4,3,4,4,1,2,3,3,2,4,2,5,4,5,2,3,3,4,3,4,4.0,1,9,14,9,17,6,44
1,20-22,12,5,2,4,3,5,3,0,0,0,0,0,0,0,0,5,2,5,d,a,1,3,1,2,2,3,3,4,5,4,4,3,2,3,2,2,3,3,3,3,4,4,4,4,3,4,3,2,2,3,4,5,3,4,3.0,2,15,15,9,10,14,42
1,18-20,47,6,2,5,5,5,4,0,0,0,0,0,0,0,0,5,23,5,a,a,1,3,2,4,4,4,4,3,5,2,5,4,1,4,1,3,2,4,1,3,4,4,4,5,2,3,4,3,2,4,4,4,2,4,2.0,1,16,14,13,12,11,40
1,18-20,65,5,2,5,3,4,4,0,0,0,0,0,0,0,0,5,17,5,a,a,0,1,2,1,1,4,3,3,4,5,5,3,1,1,1,1,1,1,2,3,2,3,3,3,4,4,4,1,3,1,2,5,5,5,4.0,5,11,9,4,9,15,46
1,20-22,64,7,2,5,5,4,5,0,0,0,0,0,0,0,0,5,30,5,a,a,1,3,1,1,2,3,4,4,4,1,4,4,2,2,2,2,5,5,2,4,4,4,4,1,4,4,4,4,3,5,5,5,4,5,4.0,4,16,18,7,11,11,52
1,20-22,60,6,2,5,5,3,4,0,0,0,0,0,0,0,0,5,24,5,b,a,1,2,1,3,4,5,4,3,5,2,2,3,2,1,1,1,5,4,1,3,3,4,5,4,5,5,4,5,5,5,4,5,2,2,1.0,1,15,17,10,11,8,48
1,20-22,6,6,2,5,5,5,5,0,0,0,0,0,0,0,0,4,31,5,a,a,1,3,2,4,5,5,5,4,3,4,3,5,5,5,2,2,5,4,1,2,2,2,3,3,4,4,5,4,5,4,5,5,3,3,4.0,5,12,16,19,14,10,54
1,18-20,46,5,2,4,3,3,3,0,0,0,0,0,0,0,0,4,3,3,d,a,1,2,1,5,5,5,4,4,5,2,2,3,4,4,4,4,4,4,3,4,4,4,4,2,4,5,4,4,5,4,4,5,3,4,5.0,5,15,17,18,17,11,54
1,20-22,58,7,2,5,4,5,5,0,0,0,0,0,0,0,0,5,2,5,i,a,1,6,1,5,5,5,5,4,5,4,2,4,3,3,3,4,4,5,5,2,4,5,5,1,3,4,4,4,4,4,4,5,3,4,2.0,2,18,18,16,17,13,44
1,20-22,13,7,2,5,5,5,5,0,0,0,0,0,0,0,0,5,2,5,i,a,1,2,2,4,4,5,4,2,3,4,2,4,4,4,4,2,2,4,2,1,2,2,3,3,5,3,4,2,3,4,4,5,4,5,5.0,5,11,11,16,15,9,52
1,20-22,47,5,2,4,4,3,4,0,0,0,0,0,0,0,0,4,24,4,a,a,1,3,1,4,4,4,4,2,4,2,2,3,2,5,2,2,2,4,3,2,2,3,2,4,4,2,3,2,2,4,2,4,4,4,4.0,3,10,12,15,12,9,42
1,20-22,53,7,2,5,5,5,5,0,0,0,0,0,0,0,0,5,2,5,d,a,1,3,2,3,5,5,5,3,4,4,4,3,5,5,5,3,4,5,4,2,1,2,5,4,3,4,4,2,2,3,3,3,3,5,2.0,2,11,16,18,18,14,40
1,22 above,57,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,a,a,1,1,1,4,4,5,5,4,4,2,1,4,2,4,3,3,5,3,1,5,4,4,4,4,3,5,5,4,4,5,5,4,1,4,4.0,3,16,16,14,16,9,51
